posth_mf,posth_my,posth_ma,posth_ff,posth_fy,posth_fa,posth_total,preh_mf,preh_my,preh_ma,preh_ff,preh_fy,preh_fa,preh_total,lambda,mf_harvest,my_harvest,ma_harvest,ff_harvest,fy_harvest,fa_harvest,total_harvest
8343,3342,4133,8672,5689,14190,44369,10525,6182,6742,10395,7426,16673,57943,0.996,851,2878,2435,869,1591,1902,10526
8280,3199,4186,8562,5835,14208,44270,10469,6226,6643,10468,7342,16675,57823,0.998,812,2907,2480,911,1654,1985,10749
3814,3402,5939,3963,4913,11058,33089,8200,2940,8429,8142,3399,13268,44378,NA,573,1313,3023,689,778,1551,7927
6543,1586,5271,6672,2621,11215,33908,7513,4936,6185,7088,5761,11373,42856,0.966,572,2318,2269,588,1283,1341,8371
5997,2540,3814,5826,4478,9651,32306,7328,4490,5702,7323,5046,11780,41669,0.972,546,2101,2036,617,1129,1362,7791
5834,2325,3574,6029,3917,9959,31638,7351,4439,5333,7188,5146,11545,41002,0.984,546,2120,1958,640,1121,1305,7690
5816,2256,3286,5864,4025,9806,31053,7888,4314,5437,7688,4992,13519,43838,1.069,586,1961,2040,660,1072,1546,7865
6261,2295,3397,6323,3920,11949,34145,8669,4705,5497,8625,5424,14689,47609,1.086,629,2198,2015,740,1238,1744,8564
6896,2444,3466,7078,4186,12774,36844,9142,5186,5605,8973,6033,15143,50082,1.052,635,2369,2071,763,1315,1721,8874
7326,2756,3485,7383,4718,13120,38788,9540,5486,5787,9507,6350,15904,52574,1.05,765,2600,2127,830,1376,1800,9498
7553,2803,3598,7767,4974,13755,40450,10127,5638,5825,9797,6690,16173,54250,1.032,735,2641,2230,841,1474,1879,9800
8077,2920,3508,8071,5216,13853,41645,10302,6026,5873,9799,6923,16408,55331,1.02,737,2780,2102,829,1540,1906,9894
8209,3153,3691,8030,5383,13992,42458,10336,6116,6242,10048,6858,16498,56098,1.014,771,2826,2312,878,1467,1871,10125
8219,3194,3832,8255,5391,14119,43010,10373,6206,6312,10168,7073,16556,56688,1.011,757,2856,2312,844,1512,1898,10179
8286,3262,3909,8305,5561,14084,43407,10354,6153,6498,10055,7085,16598,56743,1.001,716,2934,2470,829,1520,1922,10391
8298,3124,3924,8243,5565,14105,43259,10324,6262,6342,10274,7038,16457,56697,0.999,762,2893,2337,875,1524,1901,10292
8212,3254,3910,8420,5514,13918,43228,10356,6094,6436,10125,7222,16304,56537,0.997,761,2836,2397,918,1576,1911,10399
8229,3171,3940,8242,5646,13820,43048,10200,6163,6458,10048,7070,16216,56155,0.993,775,2892,2340,871,1595,1913,10386
8156,3184,4023,8246,5475,13732,42816,10124,6173,6530,9917,7075,15949,55768,0.993,745,2936,2396,819,1583,1818,10297
8071,3139,4045,8184,5492,13511,42442,9987,6011,6480,9820,7046,15761,55105,0.988,723,2841,2432,852,1507,1833,10188
7952,3077,3952,8072,5539,13346,41938,9915,5890,6400,9846,6918,15761,54730,0.993,747,2771,2344,842,1483,1793,9980
7826,3033,3956,8067,5435,13408,41725,9827,5919,6318,9733,6910,15670,54377,0.994,744,2641,2303,805,1534,1813,9840
7763,3196,3912,8017,5376,13284,41548,10034,5810,6416,9687,6841,15638,54426,1.001,756,2744,2408,825,1512,1751,9996
7933,2982,3910,7975,5329,13335,41464,10036,5941,6240,9782,6824,15681,54504,1.001,723,2763,2232,807,1460,1785,9770
7979,3080,3909,8075,5364,13318,41725,9866,5969,6317,9921,6964,15682,54719,1.004,712,2765,2345,839,1537,1879,10077
7874,3123,3861,8148,5427,13240,41673,9889,5817,6291,9602,7036,15643,54278,0.992,746,2718,2232,798,1502,1775,9771
7853,3019,3953,7952,5534,13303,41614,10004,5917,6315,9863,6890,15789,54778,1.009,741,2772,2343,829,1506,1814,10005
3788,3387,5933,3971,4941,11076,33096,8124,2864,8443,8106,3389,13352,44278,NA,583,1362,3108,689,749,1562,8053
6488,1450,5224,6674,2640,11306,33782,7268,4808,6034,7269,5747,11504,42630,0.963,568,2247,2197,623,1266,1305,8206
5721,2484,3727,5965,4481,9766,32144,7505,4282,5609,7383,5093,11857,41729,0.979,560,1980,2041,615,1153,1346,7695
5942,2234,3477,6070,3940,10078,31741,7413,4433,5136,7236,5199,11639,41056,0.984,520,2084,1853,612,1112,1341,7522
5956,2290,3206,5949,4087,9837,31325,7941,4481,5376,7771,5098,13724,44391,1.081,610,2128,1989,665,1106,1608,8106
6282,2290,3387,6368,3992,12116,34435,8983,4716,5440,8746,5460,14924,48269,1.087,659,2167,1967,718,1191,1720,8422
7146,2473,3449,7212,4269,13013,37562,9563,5344,5600,9262,6173,15797,51739,1.072,707,2488,2086,847,1350,1825,9303
7630,2764,3479,7535,4823,13743,39974,10105,5675,5781,10022,6434,16530,54547,1.054,776,2624,2158,891,1462,1907,9818
8041,2964,3559,8189,4972,14235,41960,10247,5981,6031,10034,7063,16758,56114,1.029,791,2786,2224,859,1551,1948,10159
8107,3093,3741,8233,5512,14396,43082,10683,5991,6251,10556,7072,17172,57725,1.029,784,2817,2315,943,1548,2088,10495
8513,3085,3858,8619,5524,14573,44172,10714,6429,6308,10394,7401,17177,58423,1.012,818,3049,2221,869,1610,1972,10539
8507,3273,4004,8583,5791,14679,44837,10864,6361,6568,10695,7325,17330,59143,1.012,779,2972,2429,941,1649,2058,10828
8666,3303,4016,8809,5676,14664,45134,10770,6489,6620,10592,7577,17016,59064,0.999,808,2993,2457,906,1631,1950,10745
8602,3392,4072,8771,5946,14465,45248,10878,6478,6766,10541,7447,17130,59240,1.003,778,2964,2472,910,1719,1923,10766
8615,3420,4177,8660,5728,14607,45207,10627,6391,6904,10572,7471,17076,59041,0.997,772,2952,2477,905,1638,2044,10788
8458,3343,4316,8708,5833,14390,45048,10909,6335,6973,10571,7482,17020,59290,1.004,804,2941,2553,926,1640,1920,10784
8700,3307,4319,8636,5842,14490,45294,10640,6590,6892,10590,7418,16907,59037,0.996,792,3047,2543,863,1705,1948,10898
8443,3460,4221,8778,5713,14309,44924,10726,6291,6949,10448,7524,16644,58582,0.992,755,2984,2625,876,1671,1943,10854
8598,3218,4188,8532,5853,14096,44485,10613,6372,6688,10323,7341,16762,58099,0.992,783,2995,2496,867,1613,1945,10699
8432,3274,4092,8528,5728,14235,44289,10707,6270,6670,10235,7317,16692,57891,0.996,768,2857,2425,845,1572,1951,10418
8491,3323,4137,8441,5745,14128,44265,10677,6372,6735,10258,7254,16640,57936,1.001,811,2842,2463,839,1580,1884,10419
8408,3449,4170,8441,5674,14121,44263,10434,6297,6877,10263,7233,16604,57708,0.996,707,2849,2593,870,1590,1942,10551
8361,3343,4172,8463,5643,14050,44032,10565,6225,6792,10209,7301,16494,57586,0.998,753,2972,2420,868,1619,1903,10535
8405,3151,4246,8421,5682,14016,43921,10375,6313,6700,10262,7219,16533,57402,0.997,733,2966,2451,855,1605,1927,10537
8280,3241,4142,8409,5614,14015,43701,10270,6172,6685,10097,7220,16292,56736,0.988,746,2889,2451,831,1558,1882,10357
3703,3321,5935,3962,5009,10980,32910,8283,2753,8412,8146,3409,13349,44352,NA,626,1212,3017,661,801,1520,7837
6531,1498,5247,6679,2608,11326,33889,7358,4842,6076,7144,5743,11545,42708,0.963,571,2231,2227,582,1230,1330,8171
5828,2534,3740,5873,4513,9780,32268,7406,4355,5648,7485,5041,11971,41906,0.981,526,2006,2061,591,1076,1343,7603
5908,2288,3486,6199,3965,10169,32015,7430,4488,5220,7378,5324,11749,41589,0.992,536,2038,1942,648,1173,1338,7675
5926,2370,3187,6060,4151,9978,31672,8071,4511,5445,7852,5182,13691,44752,1.076,600,2045,2027,644,1154,1623,8093
6444,2392,3418,6489,4028,12017,34788,8936,4757,5650,8695,5531,15171,48740,1.089,681,2281,2141,719,1232,1804,8858
7064,2418,3491,7147,4299,13239,37658,9600,5274,5482,9452,6145,15864,51817,1.063,706,2478,2050,755,1392,1826,9207
7646,2736,3370,7800,4753,13746,40051,9886,5716,5639,9665,6692,16261,53859,1.039,764,2700,2104,792,1497,1919,9776
7875,2939,3468,8006,5195,13942,41425,10340,5841,5829,10215,6868,16634,55727,1.035,801,2723,2082,877,1516,1959,9958
8141,3024,3658,8320,5352,14214,42709,10345,6052,6071,10366,7152,16817,56803,1.019,741,2820,2177,891,1586,1974,10189
8226,3147,3797,8518,5566,14394,43648,10515,6138,6272,10595,7244,16980,57744,1.017,802,2815,2266,856,1605,1968,10312
8344,3231,3923,8752,5639,14423,44312,10556,6226,6542,10502,7524,16892,58242,1.009,844,2824,2360,870,1652,1938,10488
8348,3290,4075,8678,5872,14356,44619,10748,6276,6643,10662,7440,17185,58954,1.012,805,2934,2386,924,1579,2038,10666
8578,3241,4153,8756,5861,14600,45189,10932,6482,6669,10499,7459,17191,59232,1.005,818,2986,2497,934,1682,2087,11004
8747,3397,4081,8555,5777,14509,45066,10756,6516,6769,10596,7331,16969,58937,0.995,806,3023,2588,899,1521,1932,10769
8550,3400,4088,8686,5810,14443,44977,10609,6376,6784,10526,7473,16885,58653,0.995,773,2982,2426,879,1614,1995,10669
8483,3291,4232,8631,5859,14248,44744,10445,6344,6831,10488,7354,16653,58115,0.991,785,2970,2478,856,1632,1866,10587
8301,3267,4243,8645,5722,14163,44341,10576,6165,6739,10373,7414,16522,57789,0.994,750,2898,2399,818,1680,1848,10393
8475,3185,4233,8570,5734,14046,44243,10632,6385,6672,10367,7357,16650,58063,1.005,759,2964,2472,859,1680,1911,10645
8481,3341,4086,8525,5677,14133,44243,10534,6358,6661,10208,7327,16621,57709,0.994,772,2952,2403,879,1589,1982,10577
8417,3316,4153,8351,5738,14085,44060,10662,6351,6773,10117,7164,16585,57652,0.999,790,3018,2480,873,1519,1911,10591
8448,3235,4179,8318,5645,14105,43930,10300,6374,6691,10255,7133,16484,57237,0.993,742,2935,2454,818,1510,1974,10433
8234,3326,4138,8445,5623,13966,43732,10398,6127,6776,10074,7215,16390,56980,0.996,737,2859,2502,849,1640,1925,10512
8349,3187,4158,8289,5575,13871,43429,10204,6229,6668,10033,7073,16270,56477,0.991,750,2938,2418,863,1531,1882,10382
8213,3194,4144,8166,5542,13781,43040,10057,6096,6622,10245,7009,16260,56289,0.997,759,2820,2445,844,1559,1901,10328
3824,3312,5936,3932,5010,10809,32823,8260,2909,8328,8235,3398,13260,44390,NA,637,1405,3038,701,703,1541,8025
6544,1455,5177,6799,2695,11192,33862,7415,4888,5998,7072,5820,11510,42703,0.962,560,2267,2171,572,1242,1356,8168
5880,2549,3719,5804,4578,9754,32284,7609,4425,5687,7389,4944,11922,41976,0.983,590,2097,2132,627,1083,1421,7950
5966,2260,3451,6066,3861,10078,31682,7430,4449,5150,7191,5201,11543,40964,0.976,581,2037,1841,659,1168,1325,7611
5904,2354,3220,5836,4033,9810,31157,7767,4394,5447,7709,4953,13411,43681,1.066,586,2002,1965,694,1061,1612,7920
6145,2335,3482,6257,3892,11743,33854,8595,4574,5704,8347,5400,14393,47013,1.076,638,2122,2095,760,1195,1668,8478
6887,2395,3609,6780,4205,12535,36411,8980,5157,5536,8989,5845,15144,49651,1.056,675,2392,2068,765,1280,1769,8949
